osm_subject,amenity,ar,en,fr
https://www.openstreetmap.org/node/4318184494,waste_baske,,,
https://www.openstreetmap.org/node/4318184495,waste_baske,,,
https://www.openstreetmap.org/node/4318184497,waste_baske,,,
https://www.openstreetmap.org/node/4318191898,waste_baske,,,
https://www.openstreetmap.org/node/4318191899,waste_baske,,,
https://www.openstreetmap.org/node/6036159187,restaurant,,,
https://www.openstreetmap.org/node/6036159188,cafe,,Almars,
https://www.openstreetmap.org/node/4318204691,waste_baske,,,
https://www.openstreetmap.org/node/4318204692,waste_baske,,,
https://www.openstreetmap.org/node/4318204693,waste_baske,,,
https://www.openstreetmap.org/node/4318204694,waste_baske,,,
https://www.openstreetmap.org/node/4318204695,waste_baske,,,
https://www.openstreetmap.org/node/4318204696,waste_baske,,,
https://www.openstreetmap.org/node/4318204697,waste_baske,,,
https://www.openstreetmap.org/node/4318204698,waste_baske,,,
https://www.openstreetmap.org/node/4318204699,waste_baske,,,
https://www.openstreetmap.org/node/4318204700,waste_baske,,,
https://www.openstreetmap.org/node/4318204701,waste_baske,,,
https://www.openstreetmap.org/node/4318204702,waste_baske,,,
https://www.openstreetmap.org/node/4318204703,waste_baske,,,
https://www.openstreetmap.org/node/4318204705,waste_baske,,,
https://www.openstreetmap.org/node/4318204706,waste_baske,,,
https://www.openstreetmap.org/node/4318204707,waste_baske,,,
https://www.openstreetmap.org/node/4318205092,waste_baske,,,
https://www.openstreetmap.org/node/4318205093,waste_baske,,,
https://www.openstreetmap.org/node/4318205094,waste_baske,,,
https://www.openstreetmap.org/node/4318205095,waste_baske,,,
https://www.openstreetmap.org/node/4318205096,waste_baske,,,
https://www.openstreetmap.org/node/4318206006,waste_baske,,,
https://www.openstreetmap.org/node/4318206007,waste_baske,,,
https://www.openstreetmap.org/node/4318206491,waste_baske,,,
https://www.openstreetmap.org/node/4318206492,waste_baske,,,
https://www.openstreetmap.org/node/4511443392,post_office,أبو نبيل عقل,,
https://www.openstreetmap.org/node/4318214992,waste_baske,,,
https://www.openstreetmap.org/node/4318214993,waste_baske,,,
https://www.openstreetmap.org/node/4318215604,waste_baske,,,
https://www.openstreetmap.org/node/4511444991,post_office,أبو نزار البرعي,,
https://www.openstreetmap.org/node/4511444992,post_office,أبو رائد نصر,,
https://www.openstreetmap.org/node/4318216293,waste_baske,,,
https://www.openstreetmap.org/node/4318216294,waste_baske,,,
https://www.openstreetmap.org/node/4318216295,waste_baske,,,
https://www.openstreetmap.org/node/4318216296,waste_baske,,,
https://www.openstreetmap.org/node/4318216297,waste_baske,,,
https://www.openstreetmap.org/node/4318216298,waste_baske,,,
