"id","lat","long"
"http://sws.geonames.org/281499/","32.43439","35.28005"
"http://sws.geonames.org/281500/","31.88333","35.51667"
"http://sws.geonames.org/281501/","32.37469","35.51919"
"http://sws.geonames.org/281502/","31.46461","35.30146"
"http://sws.geonames.org/281503/","31.4742","35.29955"
"http://sws.geonames.org/281504/","32.3","35.48333"
"http://sws.geonames.org/281505/","32.31667","35.46667"
"http://sws.geonames.org/281506/","32.3","35.48333"
"http://sws.geonames.org/281507/","31.66667","35.15"
"http://sws.geonames.org/281508/","32.24746","35.46554"
"http://sws.geonames.org/281509/","32.25107","35.47268"
"http://sws.geonames.org/281510/","32.41231","35.25642"
"http://sws.geonames.org/281511/","31.71667","35.11667"
"http://sws.geonames.org/281512/","32.25713","35.41691"
"http://sws.geonames.org/281513/","31.52073","35.23555"
"http://sws.geonames.org/281514/","31.7006","35.27561"
"http://sws.geonames.org/281515/","32.18535","35.51832"
"http://sws.geonames.org/281516/","32.1833","35.50251"
"http://sws.geonames.org/281517/","31.74762","35.27241"
"http://sws.geonames.org/281518/","32.17869","35.48995"
"http://sws.geonames.org/281519/","31.71406","35.28695"
"http://sws.geonames.org/281520/","32.15683","35.31741"
"http://sws.geonames.org/281521/","31.61469","35.27147"
"http://sws.geonames.org/281522/","32.2668","35.46244"
"http://sws.geonames.org/281523/","32.26667","35.46667"
"http://sws.geonames.org/281524/","32.08333","35"
"http://sws.geonames.org/281525/","31.97368","35.45303"
"http://sws.geonames.org/281526/","31.73092","35.39636"
"http://sws.geonames.org/281527/","31.75","35.36667"
"http://sws.geonames.org/281528/","31.87422","35.23973"
"http://sws.geonames.org/281529/","32.22628","35.18157"
"http://sws.geonames.org/281530/","32.42623","35.29562"
"http://sws.geonames.org/281531/","32.09248","34.99069"
"http://sws.geonames.org/281532/","31.68941","35.39306"
"http://sws.geonames.org/281533/","31.80847","35.20572"
"http://sws.geonames.org/281534/","31.6159","35.26987"
"http://sws.geonames.org/281535/","31.45213","35.13357"
"http://sws.geonames.org/281536/","31.44183","35.04456"
"http://sws.geonames.org/281537/","32.3623","35.22121"
"http://sws.geonames.org/281538/","32.21667","35.55"
"http://sws.geonames.org/281539/","32.12899","35.09439"
"http://sws.geonames.org/281540/","32.1","35.03333"
"http://sws.geonames.org/281541/","32.28333","35.48333"
"http://sws.geonames.org/281542/","32","35.21667"
"http://sws.geonames.org/281543/","31.91562","35.24114"
"http://sws.geonames.org/281544/","32.15224","35.31069"
"http://sws.geonames.org/281545/","32.14893","35.31215"
"http://sws.geonames.org/281547/","32.22828","35.49654"
"http://sws.geonames.org/281548/","32.15363","35.27646"
"http://sws.geonames.org/281549/","31.71667","35.28333"
